"ID",고객명,연락처,우편번호,가입일자,배송지 주소,구매금액,이메일,상태,메모
1,  정수빈 ,01052834689, 51866 ,2022.05.12,대전 수성구 가무내로 601번지,"854,377원",user1@example.com,Inactive,
2,  박민수 ,010-1089-1230,9096,2022-10-03,울산 서구 가무내로 101번지,715541,user2@example.com,정지,
3, 장미 ,010.4524.3891, 34019 ,2021/03/28,광주광역시 중구 벚꽃로 949번지,"514,082",user3@example.com,Active,확인 필요
4, 정수빈,01010551364,9886,2021/04/15,대전 남구 테헤란로 559번지,"520,244원",user4@example.com,휴면,확인 필요
5,이영희,010.7744.2316, 39657 ,20230519,울산 해운대구 가무내로 860번지,329726,user5@example.com,Inactive,
6,최지우 ,01087587870,3636,20230915,울산 강남구 가무내로 62번지,"619,066",user6@example.com,Active,
7,  박민수 ,010 5044 6388,25318,2021-03-16,부산광역시 수성구 테헤란로 231번지,277609,user7@example.com ,정지,
8,조민재,010.2726.3455, 64199 ,2021.08.17,서울시 해운대구 테헤란로 629번지,579551,user8@example.com,휴면,확인 필요
9, 장미 ,010.6121.3300,88335,2021/12/16,경기도 서구 중앙대로 798번지,"50,660",user9@example.com,pending,확인 필요
10,조민재,010.6827.4073,8145,2023.06.06,울산 북구 테헤란로 849번지,916114,user10@example.com,정지,
11,강하늘,010-76922686,1241,2022.09.13,인천 해운대구 가무내로 66번지,"488,312",user11@example.com,Inactive,
12,  정수빈 ,010-8668-1637,9041,2022/03/10,인천 북구 달구벌대로 650번지,153648,user12@example.com,휴면,
13, 최지우  ,01072515250,52370,2020/03/02,인천 동구 중앙대로 217번지,229874,user13@example.com,탈퇴,
14,강하늘,010-42047083,88684,2022/02/21,대구 동구 해운대로 478번지,703285원,user14@example.com,Inactive,
15, 이영희 ,010.9355.4794,4813,2023/08/23,대전 수성구 중앙대로 64번지,161866원,user15@example.com,Active,
16,  박민수 ,01016294268,1570,2021/04/13,부산광역시 중구 해운대로 671번지,814166,user16@example.com,탈퇴,확인 필요
17, 박민수,010-1535-7928, 70668 ,2022/02/24,서울시 동구 중앙대로 448번지,"34,730",user17@example.com,휴면,확인 필요
18, 박민수,010.8143.3176,45139,2020-12-06,서울시 강남구 테헤란로 607번지,243498,user18@example.com,탈퇴,
19, 정수빈,010 9931 1578,15871,2023.01.10,울산 중구 벚꽃로 203번지,326803원,user19@example.com,Inactive,
20,오지호,01012387506,16279,2023.09.24,세종시 동구 가무내로 195번지,550153,user20@example.com,탈퇴,
21, 박민수,01098817484,43509,2020.05.19,광주광역시 남구 중앙대로 754번지,676596,user21@example.com,휴면,
22,최지우 ,010-28715963,76627,20230712,대전 동구 벚꽃로 608번지,400912,user22@example.com,탈퇴,
23, 정수빈,01095446441,20565,20210714,경기도 해운대구 테헤란로 261번지,668144,user23@example.com,Inactive,
24, 이영희 ,010-77043441, 16991 ,2022.02.18,서울시 남구 가무내로 606번지,"392,632원",user24@example.com,pending,
25, 김철수 ,01028949070,3419,2021.06.11,부산광역시 북구 해운대로 955번지,"115,229원",user25@example.com,휴면,확인 필요
26,이영희,01064249665,92036,2022/10/28,인천 수성구 테헤란로 79번지,253691,user26@example.com,pending,
27,  박민수 ,01051294581,41939,2023-01-18,부산광역시 북구 가무내로 743번지,698372,user27@example.com,Active,
28,  정수빈 ,010.6519.5601,57008,2023.12.04,부산광역시 수성구 중앙대로 302번지,596755,user28@example.com,Active,
29,  정수빈 ,010.6311.4677,8475,2022.11.04,울산 북구 해운대로 599번지,163579,user29@example.com,휴면,
30, 장미 ,01012939692,2585,2021.04.04,광주광역시 동구 테헤란로 880번지,838924,user30@example.com,정지,
31,오지호,010 4767 6920, 90873 ,2021.04.06,경기도 수성구 가무내로 702번지,184743,user31@example.com,정지,확인 필요
32,최지우 ,010 8597 5166,6496,2020-09-15,경기도 동구 달구벌대로 723번지,550424,user32@example.com,탈퇴,
33,윤서연,010-64028387,5826,2020/06/13,인천 서구 달구벌대로 817번지,"398,659",user33@example.com,휴면,
34,조민재,010 5585 7725,9894,2020.09.23,인천 수성구 벚꽃로 352번지,889464원,user34@example.com,탈퇴,확인 필요
35,김철수,010-1401-6237,03665,2023.01.01,대구 서구 중앙대로 184번지,16775원,user35@example.com,휴면,
36, 윤서연 ,010 7109 6264,1417,2021.02.27,인천 서구 중앙대로 196번지,911882,user36@example.com,휴면,
37, 조민재 ,010.5948.8993,91597,2020.10.19,대구 중구 중앙대로 219번지,75822,user37@example.com,Inactive,
38, 윤서연 ,010 5403 2131,3187,20210710,세종시 중구 테헤란로 392번지,"525,441",user38@example.com,정지,
39,오지호,010-32287318,5920,2023/07/14,인천 서구 해운대로 220번지,117880원,user39@example.com ,탈퇴,
40,이영희,010-1701-8060,18789,2020/05/26,대전 해운대구 테헤란로 127번지,383533,user40@example.com,Active,
41, 최지우  ,010 1160 4892,41289,20200922,인천 서구 해운대로 186번지,667419,user41@example.com,탈퇴,확인 필요
42,이영희,010-67302070,60079,2020-07-18,인천 해운대구 해운대로 243번지,346143원,user42@example.com,pending,
43,이영희,01069476017,9513,2020-01-06,경기도 수성구 벚꽃로 403번지,"520,284원",user43@example.com,Inactive,
44, 강하늘 ,010 3528 5032,87640,2023.10.19,울산 북구 중앙대로 380번지,"807,015",user44@example.com,Inactive,확인 필요
45, 정수빈,010-8746-2626,7393,2021.09.13,부산광역시 강남구 중앙대로 251번지,623857,user45@example.com,Active,
46,조민재,010-8581-4366,20817,2021.12.09,광주광역시 동구 테헤란로 398번지,374336,user46@example.com,탈퇴,
47,오지호,010-1515-7594,1277,2022/12/18,부산광역시 서구 가무내로 468번지,"961,560",user47@example.com,Inactive,
48,오지호,010-14003293, 04465 ,20221008,광주광역시 강남구 중앙대로 628번지,924257,user48@example.com,Inactive,
49, 장미 ,010-3551-6722,6758,20200218,서울시 남구 테헤란로 906번지,2227,user49@example.com,Inactive,
50,조민재,010-7472-1279, 28266 ,2023.03.24,울산 강남구 해운대로 540번지,"788,843",user50@example.com,탈퇴,
51,강하늘,01078474680, 91509 ,2023-09-19,인천 북구 해운대로 899번지,"353,378",user51@example.com,휴면,확인 필요
52,김철수,01087867350,03243,2021/03/26,경기도 해운대구 달구벌대로 497번지,"263,794",user52@example.com,탈퇴,
53, 강하늘 ,010-2722-2223, 01740 ,20221223,광주광역시 동구 벚꽃로 494번지,52989원,user53@example.com,Inactive,
54,오지호,010 3641 3283, 07523 ,2021.08.21,서울시 남구 테헤란로 725번지,115898,user54@example.com,정지,
55,  박민수 ,010.1585.7777, 30792 ,2022-09-03,세종시 해운대구 중앙대로 548번지,"634,278",user55@example.com,pending,
56, 윤서연 ,010-57042993,81963,2021/04/15,서울시 강남구 해운대로 754번지,689658,user56@example.com,pending,
57, 이영희 ,010.5893.3541, 68065 ,2022-02-17,광주광역시 강남구 가무내로 104번지,"312,988",user57@example.com,휴면,
58,오지호,010.4523.8845,26775,20230920,세종시 중구 벚꽃로 382번지,"724,340",user58@example.com,탈퇴,
59,윤서연,010-4821-6485,91740,2023/02/19,서울시 해운대구 벚꽃로 728번지,112684,user59@example.com ,pending,
60, 조민재 ,010 6372 7453,7177,2022/07/01,부산광역시 서구 테헤란로 392번지,419298원,user60@example.com,정지,
61, 조민재 ,010.4111.7536, 11500 ,2022-03-19,서울시 중구 테헤란로 776번지,"71,325",user61@example.com,pending,
62,김철수,010-21329827, 28868 ,2022-03-23,대전 해운대구 달구벌대로 747번지,51091,user62@example.com,휴면,
63, 윤서연 ,010.9800.7862, 50727 ,2023.11.19,광주광역시 수성구 벚꽃로 468번지,978604,user63@example.com,휴면,
64, 정수빈,010.4388.4359, 04298 ,2023/11/03,경기도 동구 중앙대로 107번지,99397,user64@example.com,Active,확인 필요
65, 김철수 ,010.8638.9676, 99065 ,2020/02/13,대구 북구 해운대로 486번지,"117,243",user65@example.com,pending,
66, 장미 ,010.3535.3465,7647,2020-05-21,대구 중구 가무내로 621번지,90801,user66@example.com,Inactive,확인 필요
67,강하늘,010-26518617, 37537 ,2022/04/16,인천 북구 중앙대로 524번지,852254,user67@example.com,Inactive,
68,조민재,01059518955,93670,2021/12/03,울산 남구 중앙대로 56번지,946969,user68@example.com,정지,
69, 최지우  ,010-41275340,89958,2020.05.21,부산광역시 수성구 벚꽃로 18번지,"760,841",user69@example.com,Active,
70,  박민수 ,01022499102,90671,2021.02.09,울산 서구 벚꽃로 689번지,"439,974",user70@example.com,Active,
71, 오지호 ,010-5479-5977, 18205 ,2021-12-14,울산 중구 테헤란로 823번지,922673,user71@example.com ,Active,
72,최지우 ,010.1100.8181,85200,2020.04.03,대구 동구 중앙대로 470번지,"261,180",user72@example.com,pending,
73,윤서연,01050069461,1791,2021/06/13,세종시 중구 가무내로 56번지,551037,user73@example.com,휴면,
74, 박민수,010 2141 2511,1079,2022-01-23,인천 해운대구 테헤란로 227번지,"32,112",user74@example.com,탈퇴,
75, 장미 ,010-53585496, 37717 ,2021-06-16,세종시 북구 벚꽃로 515번지,66787,user75@example.com,탈퇴,
76, 조민재 ,010-41085102,7920,2023/10/18,대구 남구 가무내로 666번지,"220,771원",user76@example.com,Active,확인 필요
77,최지우 ,010 7751 5184,88652,2020/07/23,부산광역시 강남구 테헤란로 502번지,"844,845",user77@example.com,Inactive,
78,조민재,010-42908725,45073,2021/04/11,대전 북구 테헤란로 570번지,"293,666",user78@example.com,탈퇴,
79, 박민수,01073875779, 48978 ,2020-11-08,대구 수성구 달구벌대로 274번지,"275,957원",user79@example.com,탈퇴,
80,  정수빈 ,010.4885.8015,25122,20200523,울산 해운대구 테헤란로 801번지,"569,622",user80@example.com,정지,
81,윤서연,010-39538192, 50532 ,2021/01/28,세종시 동구 달구벌대로 131번지,"920,006",user81@example.com,휴면,
82, 박민수,010-30312378,9144,2021-07-17,대전 해운대구 가무내로 955번지,370050,user82@example.com,pending,
83, 정수빈,010 9030 2041,37054,2022/01/26,세종시 서구 중앙대로 112번지,"634,063",user83@example.com,휴면,확인 필요
84,강하늘,010 2604 5945,37069,2021-01-17,울산 중구 중앙대로 523번지,86349,user84@example.com ,Active,
85, 윤서연 ,010-7063-9483,58693,20220204,광주광역시 중구 달구벌대로 801번지,454044,user85@example.com,정지,
86,오지호,010.9777.4155,65344,20210226,인천 해운대구 중앙대로 904번지,12316,user86@example.com,Active,
87, 장미 ,01021703683,8289,2022-08-23,울산 북구 해운대로 369번지,"69,557",user87@example.com,Active,
88, 박민수,010 7885 4083,17031,2020-12-15,서울시 중구 중앙대로 356번지,"63,059",user88@example.com,pending,확인 필요
89,강하늘,010-87852372,67805,2023/05/15,인천 서구 테헤란로 710번지,240486,user89@example.com,Inactive,확인 필요
90,조민재,010-7320-4188,4256,2020.07.22,울산 강남구 가무내로 301번지,"29,216",user90@example.com,pending,확인 필요
91, 박민수,010.2536.1884, 82672 ,2022/08/08,광주광역시 수성구 달구벌대로 38번지,281140,user91@example.com,Active,
92,오지호,010-8213-8429, 61160 ,2021-02-19,광주광역시 강남구 달구벌대로 73번지,239261,user92@example.com,휴면,
93,  장미  ,010.8446.4473,2119,2023-07-24,대구 해운대구 해운대로 848번지,275693,user93@example.com,Active,
94,윤서연,010.7670.6711,80658,2021/12/24,대구 중구 중앙대로 370번지,"453,109",user94@example.com,Inactive,
95,오지호,010-3292-2005,87704,2020/02/26,울산 동구 달구벌대로 741번지,"713,774",user95@example.com,정지,
96, 최지우  ,010 9564 5705,87735,2021.10.18,울산 해운대구 가무내로 102번지,364691,user96@example.com,정지,
97, 박민수,010 2765 9641,92854,2023/05/10,광주광역시 중구 벚꽃로 900번지,"807,543",user97@example.com,Active,
98,김철수,010-3530-3254, 37412 ,2021-06-09,대구 서구 테헤란로 382번지,424680,user98@example.com,pending,확인 필요
99, 오지호 ,010.6832.9429,45627,2021.05.22,대전 남구 중앙대로 360번지,425248,user99@example.com,pending,확인 필요
100,윤서연,01022179911, 08786 ,2022-01-08,광주광역시 강남구 벚꽃로 974번지,374944,user100@example.com,정지,확인 필요
101,조민재,010-2698-4171,52389,2023/11/10,대전 서구 달구벌대로 425번지,"872,496",user101@example.com,정지,
102,김철수,010.7402.1270, 11125 ,2020.11.03,광주광역시 동구 해운대로 226번지,730567원,user102@example.com ,탈퇴,
103, 오지호 ,010.8364.9693, 86584 ,20220216,세종시 북구 가무내로 294번지,"843,495",user103@example.com,pending,
104,조민재,010.4383.2334,95572,2022.09.17,부산광역시 남구 벚꽃로 425번지,"658,667",user104@example.com,Inactive,확인 필요
105,  정수빈 ,01057891961,7448,2021-03-24,경기도 중구 벚꽃로 550번지,"704,543",user105@example.com,Active,
106,최지우 ,010 7794 4696,82522,2020.11.03,경기도 해운대구 해운대로 330번지,967951,user106@example.com,정지,
107,이영희,010 3155 9403,4718,2022.11.14,경기도 수성구 벚꽃로 167번지,72119,user107@example.com,pending,확인 필요
108,김철수,010 8653 8656, 75804 ,2023-04-28,대전 남구 테헤란로 650번지,907475,user108@example.com,Inactive,
109, 오지호 ,01063599768, 95867 ,2022/09/22,대구 해운대구 벚꽃로 868번지,122065원,user109@example.com,pending,확인 필요
110,  정수빈 ,010.5401.1549,3555,20221202,부산광역시 중구 벚꽃로 396번지,143316,user110@example.com,Inactive,
111, 오지호 ,010.1189.7804,06856,2021-03-10,서울시 수성구 중앙대로 525번지,865337원,user111@example.com,정지,
112,  장미  ,010.7566.8961,46245,20221126,울산 중구 해운대로 868번지,206319,user112@example.com,정지,
113,윤서연,010 5272 7417,05136,2020-07-04,서울시 강남구 해운대로 911번지,620093,user113@example.com,pending,
114, 윤서연 ,010 6231 2400,7319,2020.01.23,대전 서구 달구벌대로 113번지,527965원,user114@example.com,탈퇴,확인 필요
115,최지우 ,01018458786,4616,20230214,광주광역시 동구 해운대로 752번지,271515,user115@example.com,Inactive,
116,최지우 ,010-5269-7881,02572,20200805,인천 남구 중앙대로 115번지,"145,214",user116@example.com,정지,
117, 이영희 ,010-69931043,6124,20211108,대전 북구 해운대로 616번지,917733,user117@example.com,탈퇴,
118, 오지호 ,010-8808-7449,65162,20210108,세종시 북구 테헤란로 402번지,134180,user118@example.com,pending,
119,이영희,01055061389,27698,20231210,인천 서구 달구벌대로 853번지,"701,163",user119@example.com,pending,
120, 최지우  ,010-8914-1381, 65628 ,2022.11.03,세종시 서구 중앙대로 708번지,233618,user120@example.com,휴면,확인 필요
121,  장미  ,010.5414.3310,7467,2023/02/07,경기도 강남구 해운대로 603번지,507292,user121@example.com,Active,
122,강하늘,010-6497-9564,82548,20210306,경기도 남구 달구벌대로 537번지,"979,888",user122@example.com,정지,
123,오지호,01019965280,47258,2022/08/21,세종시 남구 테헤란로 684번지,94567,user123@example.com,휴면,확인 필요
124,  장미  ,01057346726,8532,20231015,경기도 동구 가무내로 652번지,582515,user124@example.com,Inactive,
125,김철수,010-9324-7226,54569,20211004,세종시 해운대구 달구벌대로 173번지,752960,user125@example.com,pending,
126, 박민수,010-79173668,06101,2020-01-09,광주광역시 중구 중앙대로 818번지,"780,368",user126@example.com,Active,확인 필요
127, 장미 ,01099195582,10356,2023-11-14,울산 북구 달구벌대로 515번지,"984,224",user127@example.com,휴면,확인 필요
128,김철수,010.5087.5867, 94104 ,2022/05/23,경기도 수성구 중앙대로 937번지,"418,154원",user128@example.com ,정지,
129,  박민수 ,010-8845-9919,9876,2023.11.16,경기도 서구 해운대로 259번지,827179,user129@example.com,정지,
130, 정수빈,01056361669,1001,2021/07/21,경기도 동구 테헤란로 422번지,528741,user130@example.com,pending,확인 필요
131,조민재,010.4740.1122,91417,20210703,울산 남구 달구벌대로 36번지,"766,784",user131@example.com,Inactive,
132,강하늘,010.2320.9597,20616,2023.02.13,대구 해운대구 테헤란로 815번지,"904,604",user132@example.com ,Active,확인 필요
133,이영희,010-46057483, 89813 ,20220626,대구 북구 벚꽃로 462번지,605138,user133@example.com,휴면,
134, 윤서연 ,010-14546763,1758,2021-03-16,경기도 동구 달구벌대로 299번지,"984,172",user134@example.com,탈퇴,확인 필요
135, 박민수,010-4117-2764, 81482 ,2021.07.08,서울시 해운대구 중앙대로 124번지,355568원,user135@example.com,탈퇴,
136, 정수빈,010-6019-1666,02226,2022.02.06,광주광역시 수성구 벚꽃로 629번지,"427,526",user136@example.com,탈퇴,
137,오지호,010-43007938,75919,20200202,울산 서구 테헤란로 733번지,"13,777",user137@example.com,pending,
138,조민재,010-71997364,50793,2023-04-17,부산광역시 수성구 벚꽃로 5번지,228754,user138@example.com,pending,
139,윤서연,010-10385154,68005,2022-04-06,경기도 수성구 중앙대로 608번지,"210,239",user139@example.com,정지,
140, 장미 ,010.9049.6309,07409,2021/12/20,대구 서구 벚꽃로 731번지,"54,435원",user140@example.com,정지,
141,오지호,01034004264,8091,2020/11/20,인천 북구 달구벌대로 735번지,"837,750",user141@example.com,탈퇴,
142,조민재,010-33076269,8106,20220512,대전 수성구 중앙대로 974번지,"450,245",user142@example.com ,pending,
143,김철수,010 8567 6160,17327,2022-05-14,광주광역시 수성구 중앙대로 968번지,842435,user143@example.com,탈퇴,
144,이영희,010-4408-5322,60924,2020.04.22,인천 남구 중앙대로 9번지,83659,user144@example.com ,정지,
145, 장미 ,01093591973, 98052 ,2020-05-13,부산광역시 서구 해운대로 719번지,"994,543",user145@example.com,정지,
146,윤서연,01079888783,54383,2021/05/24,울산 북구 벚꽃로 613번지,145552,user146@example.com,정지,
147,  박민수 ,01037619807,27765,2022.03.07,인천 강남구 중앙대로 140번지,"836,005",user147@example.com,탈퇴,
148,강하늘,01087825986, 69517 ,2020.03.19,울산 서구 가무내로 95번지,"394,353",user148@example.com ,Active,
149,윤서연,010 2119 9488,6322,20220918,인천 동구 해운대로 151번지,132694원,user149@example.com,pending,
150,  정수빈 ,01067954697,9485,2022-08-19,부산광역시 북구 벚꽃로 894번지,"454,123",user150@example.com,휴면,
