Name,Phone,Email,Join Date,Amount,Address,Zip,Note
 박 민수 ,Phone: 7643-9658,2cobv@@test.co.kr,12/4/2023,94.2503만원,대구,65009,---
최.영.희,01007687089,ps7lj8@gmail.com,2020-08-01,약 262천원,대구,775,Note
 최.영.희 ,010-7721-7657,9bn07e@@gmail.com,12/11/2023,약 241천원,서울,392,Note
홍길동,Phone: 7986-6972,5bnri9,2023. 4. 4,496223,부산,45357,---
최.영.희,Phone: 7978-4852,j5n8j9@naver.com,2023. 11. 8,약 809천원,부산,701,NULL
김철수,Phone: 2777-6830,ec8wd@@,12/22/2021,약 515천원,Daejeon,954,---
박 민수123,010-5342-4868,i0mu7@@gmail.com,2023-03-24,약 228천원,Daejeon,917,---
 N/A ,Phone: 9108-3751,vuzn6e@hanmail.net,2/27/2021,18501,Gwangju,176,---
박 민수,01087353350,4qgpy,2023. 7. 1,595561,대구,727,NULL
 Unknown ,Phone: 8956-9602,rorr2n@com,2024. 1. 16,669285,Gwangju,186,Note
홍길동,Phone: 1287-5179,fmpq4i@naver.com,2024. 3. 8,718484,대구,77369,Note
최.영.희!!,01093001307,2olvfj@@com,2024-07-09,242396,부산,44,Note
Lee James,010 7348 6888,cdtpwm,12/16/2024,923,695원,Gwangju,873,Note
Unknown123,+82 10-6375-3776,nbwsz@,2022. 10. 22,402,867원,Sejong,51161,NULL
N/A!!,010 7989 1973,jopwvr,2/21/2024,331,222원,부산,44242,---
홍길동123,Phone: 0643-5172,aic7e@com,2021. 2. 2,938,457원,Jeju,59166,---
홍길동,010-2590-4370,pxwzl1y@@hanmail.net,10/20/2024,48.2269만원,Sejong,19959,NULL
Lee James,+82 10-3159-1905,kas6p2@hanmail.net,2020. 5. 15,331,832원,대구,97774,---
최.영.희123,+82 10-3634-7103,6koa4m@,2024-10-05,약 400천원,서울,958,Note
김철수,01067737346,ju9jzr@naver.com,2021-05-21,589,790원,부산,740,Note
홍길동123,+82 10-2767-1829,tgpovp@com,2/20/2020,약 154천원,Jeju,19652,Note
홍길동,010-3756-4821,zaj59p,2024. 10. 25,895,625원,서울,6887,Note
 홍길동 ,+82 10-6078-6134,ky5lq2@@naver.com,2020-05-15,약 663천원,Jeju,897,NULL
Unknown,010 3487 8128,2mx2x@com,2023. 8. 14,649934,대구,57,---
Lee James,+82 10-6310-7572,nbz3ei@@test.co.kr,2020-01-03,728,730원,부산,81654,NULL
 최.영.희 ,010-2424-0834,eyquo,1/11/2024,92.039만원,부산,683,---
최.영.희,+82 10-3931-4401,d7ie2s,3/3/2022,757486,Sejong,83278,Note
Lee James,01032471401,0mu1br@test.co.kr,6/25/2021,360,424원,Jeju,20495,---
박 민수123,Phone: 6623-2855,7vkvrg@gmail.com,2021. 7. 5,327,494원,Gwangju,91792,Note
홍길동!!,+82 10-4079-0467,reedwh@@test.co.kr,2020-05-18,806,293원,Daejeon,52012,NULL
최.영.희,01063270733,i8zdb,2021. 10. 2,약 250천원,서울,721,NULL
Lee James123,010-6527-5650,qkmz0b@com,2021-03-26,약 210천원,대구,462,NULL
김철수,01093540067,u77xi@@gmail.com,2024. 12. 17,70.2699만원,서울,554,---
Lee James!!,010 0021 3158,vhoks@com,11/6/2023,754,322원,Incheon,14053,Note
최.영.희123,+82 10-6648-7468,sdizkx,9/5/2020,55.1584만원,Sejong,75513,NULL
김철수,+82 10-6484-6090,zeaz8j,2022. 3. 4,46460,Daejeon,12726,---
Unknown,01082981804,4enfjl@@com,2024. 1. 18,195,431원,Gwangju,65892,Note
홍길동,01001877581,5rls8@test.co.kr,1/8/2020,약 95천원,Gwangju,65378,---
Lee James,Phone: 8113-7079,yz4b28@@gmail.com,2023. 9. 11,281,589원,Sejong,960,NULL
Lee James,01045475431,9vhfq@hanmail.net,9/2/2021,558,662원,Gwangju,79676,NULL
Unknown123,010 7482 2624,yzy8er@hanmail.net,6/18/2024,629626,대구,962,NULL
김철수,Phone: 4591-8166,7zan1k@@,2020-05-19,약 66천원,서울,10588,Note
N/A,Phone: 9849-8909,g6s45t@test.co.kr,7/20/2022,578717,Incheon,72145,Note
N/A,010 2851 8249,aneqw@gmail.com,2022-04-24,963818,Jeju,213,---
Lee James!!,010-0439-1161,1ie7tg@,2024. 9. 20,8322,Gwangju,672,Note
최.영.희,010 1674 2580,1jnxdh,4/4/2021,2.4772만원,Incheon,575,---
Lee James,01042374453,wfbwo@,2021. 9. 5,약 575천원,Incheon,87172,---
박 민수,010-0980-6267,t5a0ms@,8/20/2024,61.0089만원,Gwangju,293,NULL
홍길동,01078516233,c7thok@@com,12/3/2021,78.8922만원,Daejeon,65090,Note
김철수!!,010 7577 6991,lzr91d@naver.com,11/10/2020,861799,서울,0,---
 김철수 ,Phone: 5011-3324,gwwmzo,5/28/2020,66.9481만원,Jeju,839,---
박 민수,01085335330,yaht0n@gmail.com,2021. 9. 15,113,037원,Gwangju,29610,Note
김철수,010-7832-8346,89r9rn@test.co.kr,2023. 7. 27,3.0996만원,부산,432,NULL
김철수,010-6472-2448,u3ewc@test.co.kr,2020-01-26,234215,서울,266,NULL
Unknown,010 4933 2487,mzg40o,2024. 6. 16,161,579원,Jeju,194,---
Unknown,010-6846-1491,cjiuzl@@hanmail.net,6/4/2024,37.8287만원,대구,570,---
최.영.희123,01063509265,kb7mwg@@com,2023-12-25,116,699원,Jeju,6174,---
김철수123,Phone: 1027-7547,zt2qr@,2022. 8. 28,12.1035만원,서울,27162,Note
김철수,Phone: 6496-9888,mind0l@com,2021. 10. 8,247,586원,Daejeon,545,---
 최.영.희 ,+82 10-5373-2950,axhhu@com,10/10/2022,832006,Daejeon,10281,---
박 민수123,01076698583,qu05wh@@naver.com,9/19/2024,885원,Sejong,891,---
Unknown123,01088693779,97wr1b@hanmail.net,2023. 6. 21,약 721천원,Sejong,46,NULL
김철수,010 4175 2339,t4kd4s@hanmail.net,4/26/2023,384870,대구,986,Note
김철수!!,Phone: 8029-7758,xk3w0g@,2023. 12. 6,739,691원,Gwangju,724,---
박 민수,010 7135 2423,1tn3zj@@,2/19/2022,718856,부산,4753,---
홍길동,010 7411 5151,lyx2c@test.co.kr,2/7/2024,357,384원,Incheon,653,Note
 김철수 ,010-7474-2529,t491da,2021. 10. 26,약 496천원,부산,727,---
 홍길동 ,Phone: 5226-2426,9h4c25@,2021-04-23,593,685원,Jeju,743,---
Unknown123,01073457440,jvwqps,2024-05-24,520739,Jeju,19,Note
